source,target,value
Vietnam,Western Australia,3200
Vietnam,Victoria,15820
Vietnam,Tasmania,170
Vietnam,South Australia,2340
Vietnam,Queensland,4190
Vietnam,Northern Territory,310
Vietnam,New South Wales,14890
Vietnam,Australian Capital Territory,470
UK,Western Australia,28770
UK,Victoria,22170
UK,Tasmania,510
UK,South Australia,6740
UK,Queensland,19260
UK,Northern Territory,1530
UK,New South Wales,31580
UK,Australian Capital Territory,1560
South Africa,Western Australia,9320
South Africa,Victoria,4460
South Africa,Tasmania,170
South Africa,South Australia,1530
South Africa,Queensland,7110
South Africa,Northern Territory,330
South Africa,New South Wales,6500
South Africa,Australian Capital Territory,610
Philippines,Western Australia,16220
Philippines,Victoria,16020
Philippines,Tasmania,440
Philippines,South Australia,4700
Philippines,Queensland,13590
Philippines,Northern Territory,2970
Philippines,New South Wales,21470
Philippines,Australian Capital Territory,1260
Pakistan,Western Australia,3390
Pakistan,Victoria,12340
Pakistan,Tasmania,360
Pakistan,South Australia,2120
Pakistan,Queensland,2940
Pakistan,Northern Territory,200
Pakistan,New South Wales,13930
Pakistan,Australian Capital Territory,830
New Zealand,Western Australia,17800
New Zealand,Victoria,25210
New Zealand,Tasmania,200
New Zealand,South Australia,1420
New Zealand,Queensland,33170
New Zealand,Northern Territory,780
New Zealand,New South Wales,18570
New Zealand,Australian Capital Territory,810
Nepal,Western Australia,1490
Nepal,Victoria,4410
Nepal,Tasmania,810
Nepal,South Australia,1390
Nepal,Queensland,3510
Nepal,Northern Territory,630
Nepal,New South Wales,15140
Nepal,Australian Capital Territory,330
Malaysia,Western Australia,7710
Malaysia,Victoria,16800
Malaysia,Tasmania,450
Malaysia,South Australia,1500
Malaysia,Queensland,3640
Malaysia,Northern Territory,80
Malaysia,New South Wales,6200
Malaysia,Australian Capital Territory,290
India,Western Australia,18960
India,Victoria,56050
India,Tasmania,960
India,South Australia,10920
India,Queensland,19990
India,Northern Territory,1830
India,New South Wales,52200
India,Australian Capital Territory,3350
China,Western Australia,10780
China,Victoria,60290
China,Tasmania,1280
China,South Australia,11190
China,Queensland,19230
China,Northern Territory,550
China,New South Wales,63570
China,Australian Capital Territory,4290
